"","Team","Skill"
"16","Kansas City Chiefs",3.91751114721882
"26","Philadelphia Eagles",3.20668603172881
"11","Detroit Lions",2.61154122974995
"4","Buffalo Bills",2.23755550418899
"3","Baltimore Ravens",1.93704212898268
"21","Minnesota Vikings",1.60521703095491
"12","Green Bay Packers",1.14261647360785
"7","Cincinnati Bengals",1.03803400078003
"19","Los Angeles Rams",1.00698149209353
"28","San Francisco 49ers",0.993407124041474
"27","Pittsburgh Steelers",0.99154066604828
"32","Washington Commanders",0.981237342592002
"29","Seattle Seahawks",0.969469714951761
"9","Dallas Cowboys",0.949821257530216
"30","Tampa Bay Buccaneers",0.854551526893154
"10","Denver Broncos",0.752063247834862
"18","Los Angeles Chargers",0.746813692636158
"13","Houston Texans",0.740399350582158
"20","Miami Dolphins",0.700828624238017
"2","Atlanta Falcons",0.511855015746202
"14","Indianapolis Colts",0.46861401767452
"1","Arizona Cardinals",0.465792361532393
"8","Cleveland Browns",0.399784359160032
"23","New Orleans Saints",0.374549877311756
"25","New York Jets",0.356100879093179
"15","Jacksonville Jaguars",0.34890368842935
"17","Las Vegas Raiders",0.347758329788339
"6","Chicago Bears",0.340028202404762
"24","New York Giants",0.321028519111016
"22","New England Patriots",0.240037292103543
"5","Carolina Panthers",0.222610101287468
"31","Tennessee Titans",0.219619769703792
