"","Arizona Cardinals","Atlanta Falcons","Baltimore Ravens","Buffalo Bills","Carolina Panthers","Chicago Bears","Cincinnati Bengals","Cleveland Browns","Dallas Cowboys","Denver Broncos","Detroit Lions","Green Bay Packers","Houston Texans","Indianapolis Colts","Jacksonville Jaguars","Kansas City Chiefs","Las Vegas Raiders","Los Angeles Chargers","Los Angeles Rams","Miami Dolphins","Minnesota Vikings","New England Patriots","New Orleans Saints","New York Giants","New York Jets","Philadelphia Eagles","Pittsburgh Steelers","San Francisco 49ers","Seattle Seahawks","Tampa Bay Buccaneers","Tennessee Titans","Washington Commanders"
"Arizona Cardinals","-","2","1","1","1","3","2","3","3","0","1","3","1","1","2","0","1","1","5","1","2","1","2","3","3","3","1","13","6","2","2","2"
"Atlanta Falcons","3","-","0","0","13","2","0","1","3","2","2","4","2","1","3","0","3","0","2","1","1","0","7","4","3","3","0","3","3","10","1","2"
"Baltimore Ravens","2","2","-","4","1","1","12","13","2","4","3","1","6","3","3","1","2","5","3","4","1","2","1","2","2","2","9","2","2","3","3","2"
"Buffalo Bills","2","2","3","-","1","1","2","2","3","4","3","1","2","4","3","5","3","2","3","17","1","9","1","2","13","0","4","3","2","2","5","3"
"Carolina Panthers","6","7","1","1","-","0","1","0","2","1","3","2","4","1","2","0","1","2","1","1","1","1","8","3","2","2","0","2","3","7","2","3"
"Chicago Bears","2","2","1","1","4","-","2","1","1","1","9","3","2","0","2","1","3","1","3","0","7","1","0","3","1","0","1","3","2","3","1","2"
"Cincinnati Bengals","1","2","9","4","2","0","-","11","1","3","2","0","1","3","3","4","5","1","2","3","2","1","1","1","3","1","6","2","2","2","4","0"
"Cleveland Browns","1","1","7","1","2","2","9","-","1","2","1","0","4","2","3","0","0","1","0","1","1","0","0","1","3","1","6","2","0","1","3","2"
"Dallas Cowboys","1","3","1","0","3","2","3","2","-","0","5","1","1","1","1","1","1","2","3","2","4","2","2","16","1","11","2","3","2","4","1","14"
"Denver Broncos","2","1","1","1","4","2","3","4","2","-","3","2","3","3","3","3","7","12","0","1","2","3","2","1","4","0","2","1","1","2","1","1"
"Detroit Lions","5","2","0","0","2","11","0","1","1","1","-","11","1","2","4","1","2","2","3","1","9","1","3","3","1","3","0","2","1","3","1","3"
"Green Bay Packers","2","2","1","1","3","17","2","2","6","1","9","-","3","1","3","3","2","2","6","3","8","1","3","3","1","2","1","5","6","2","2","3"
"Houston Texans","2","1","0","3","0","2","4","3","2","2","2","0","-","9","16","2","2","3","0","2","0","3","2","0","2","0","1","0","0","3","11","1"
"Indianapolis Colts","1","2","1","2","2","3","1","1","1","3","1","2","11","-","8","2","4","1","0","4","2","3","0","1","4","0","2","2","0","2","12","1"
"Jacksonville Jaguars","0","1","3","4","1","1","2","1","1","1","0","0","4","12","-","0","2","3","0","3","0","2","1","1","3","0","3","0","1","0","8","0"
"Kansas City Chiefs","2","3","6","6","3","2","4","5","1","17","2","1","8","2","6","-","17","17","1","4","2","4","3","1","3","3","5","5","1","3","2","2"
"Las Vegas Raiders","1","0","4","1","2","1","1","5","1","13","1","1","2","3","2","3","-","10","0","2","0","2","3","2","4","1","2","0","1","1","3","0"
"Los Angeles Chargers","2","4","1","2","1","2","4","6","1","8","1","1","2","2","4","3","10","-","1","3","1","2","1","2","3","1","2","1","1","0","4","2"
"Los Angeles Rams","16","2","1","1","2","3","2","3","3","2","3","1","2","3","2","1","3","1","-","0","4","2","5","4","2","1","0","8","14","5","1","2"
"Miami Dolphins","2","1","3","4","2","2","2","3","1","2","1","0","3","1","2","0","4","4","3","-","0","12","1","2","14","2","2","3","0","0","3","2"
"Minnesota Vikings","4","5","1","1","4","13","1","1","1","1","11","11","3","2","3","1","3","3","2","2","-","1","5","5","3","2","1","3","2","1","2","3"
"New England Patriots","3","3","2","12","1","2","3","4","2","3","1","1","6","3","3","3","2","4","2","8","1","-","1","2","17","1","7","1","0","1","3","2"
"New Orleans Saints","2","13","1","1","13","5","1","3","3","1","2","2","1","3","2","0","1","2","3","1","2","2","-","4","2","3","1","2","4","11","2","3"
"New York Giants","1","0","2","1","2","3","2","2","4","1","1","2","2","2","1","1","1","0","1","2","1","1","2","-","0","4","0","2","2","3","1","11"
"New York Jets","0","0","1","7","0","1","1","5","2","3","1","1","3","2","4","1","1","0","1","6","0","3","0","3","-","1","2","1","0","0","3","3"
"Philadelphia Eagles","2","4","1","3","3","5","1","2","9","2","2","4","2","2","3","2","1","1","5","1","4","3","4","17","3","-","3","3","0","1","1","13"
"Pittsburgh Steelers","2","3","12","2","2","1","15","14","1","4","1","2","2","6","2","3","4","3","3","2","1","1","1","3","2","1","-","1","2","2","4","2"
"San Francisco 49ers","7","2","1","0","2","4","2","1","4","1","3","4","2","0","3","0","2","1","13","1","3","2","2","3","2","2","2","-","8","4","1","3"
"Seattle Seahawks","13","4","1","1","4","2","1","3","4","2","6","1","2","2","1","1","1","1","7","3","5","3","0","3","4","6","2","13","-","1","1","2"
"Tampa Bay Buccaneers","2","10","0","1","13","4","0","1","3","1","3","3","0","2","3","2","2","3","2","2","2","1","10","4","2","6","0","2","2","-","1","2"
"Tennessee Titans","0","2","3","2","1","2","2","3","1","3","2","2","9","8","12","4","2","2","1","4","1","3","2","1","1","1","0","1","2","2","-","2"
"Washington Commanders","4","4","1","1","4","4","2","2","6","2","2","3","1","1","2","0","2","0","2","1","1","1","2","8","0","8","1","2","2","4","1","-"
