"","Team","Skill"
"16","Kansas City Chiefs",2.68261877831918
"4","Buffalo Bills",1.46877082254479
"27","Pittsburgh Steelers",1.44148342748824
"12","Green Bay Packers",1.41289492138478
"26","Philadelphia Eagles",1.36916489263526
"3","Baltimore Ravens",1.3615934374709
"21","Minnesota Vikings",1.34921159913864
"29","Seattle Seahawks",1.31595291851722
"22","New England Patriots",1.31412536201721
"19","Los Angeles Rams",1.22595848674508
"23","New Orleans Saints",1.14855362693546
"9","Dallas Cowboys",1.14358573720457
"30","Tampa Bay Buccaneers",0.957411080309929
"28","San Francisco 49ers",0.927991687668018
"7","Cincinnati Bengals",0.909808462550049
"11","Detroit Lions",0.88742962648375
"20","Miami Dolphins",0.877171449325251
"18","Los Angeles Chargers",0.838205261891727
"2","Atlanta Falcons",0.819956121693165
"10","Denver Broncos",0.818911793154289
"1","Arizona Cardinals",0.760903056166917
"31","Tennessee Titans",0.758016050584535
"14","Indianapolis Colts",0.755122092822791
"17","Las Vegas Raiders",0.750307669886006
"32","Washington Commanders",0.738681475277731
"13","Houston Texans",0.700436721956467
"5","Carolina Panthers",0.668479317879362
"6","Chicago Bears",0.601805704495669
"24","New York Giants",0.523475240692411
"8","Cleveland Browns",0.518333913776569
"25","New York Jets",0.496199832268374
"15","Jacksonville Jaguars",0.457439430715672
